Date,High,Low,Open,Close,Volume,Adj Close
2007-01-03,142.86000061035156,140.57000732421878,142.25,141.3699951171875,94807600.0,108.9999542236328
2007-01-04,142.0500030517578,140.61000061035156,141.22999572753906,141.6699981689453,69620600.0,109.23125457763672
2007-01-05,141.39999389648438,140.3800048828125,141.3300018310547,140.53999328613278,76645300.0,108.3600082397461
2007-01-08,141.41000366210938,140.25,140.82000732421875,141.19000244140625,71655000.0,108.8612060546875
2007-01-09,141.60000610351562,140.39999389648438,141.30999755859375,141.07000732421875,75680100.0,108.76861572265624
2007-01-10,141.57000732421875,140.30000305175778,140.58000183105472,141.5399932861328,72428000.0,109.13105010986328
2007-01-11,142.6199951171875,141.5,141.5800018310547,142.16000366210938,54476800.0,109.60906982421876
2007-01-12,143.24000549316406,142.11000061035156,142.14999389648438,143.24000549316406,55370600.0,110.4418487548828
2007-01-16,143.44000244140625,142.72999572753906,143.07000732421875,142.9600067138672,44871300.0,110.22594451904295
2007-01-17,143.4600067138672,142.72999572753906,142.85000610351562,143.02000427246094,50241400.0,110.27216339111328
2007-01-18,143.25999450683594,142.30999755859375,143.1699981689453,142.5399932861328,68177300.0,109.902099609375
2007-01-19,143.10000610351562,142.4600067138672,142.5399932861328,142.82000732421875,56973000.0,110.11797332763672
2007-01-22,143.10000610351562,141.92999267578125,143.07000732421875,142.3800048828125,60253600.0,109.77873229980469
2007-01-23,143.0800018310547,142.05999755859375,142.25999450683594,142.8000030517578,54064400.0,110.1025619506836
2007-01-24,143.97999572753906,142.91000366210938,142.97000122070312,143.9499969482422,55834700.0,110.98920440673828
2007-01-25,143.9199981689453,142.00999450683594,143.86000061035156,142.25999450683594,73583800.0,109.68616485595705
2007-01-26,142.64999389648438,141.5800018310547,142.57000732421875,142.1300048828125,67255600.0,109.5859375
2007-01-29,142.8000030517578,141.74000549316406,142.19000244140625,142.0500030517578,66114600.0,109.52430725097656
2007-01-30,142.86000061035156,142.05999755859375,142.35000610351562,142.7899932861328,70407600.0,110.09484100341795
2007-01-31,144.1300048828125,142.39999389648438,142.6300048828125,143.75,91868600.0,110.83502197265624
2007-02-01,144.66000366210938,143.91000366210938,144.14999389648438,144.61000061035156,69312400.0,111.49810028076172
2007-02-02,144.9499969482422,144.3800048828125,144.72999572753906,144.80999755859375,49607000.0,111.65230560302734
2007-02-05,144.94000244140625,144.33999633789062,144.6999969482422,144.85000610351562,45705300.0,111.68317413330078
2007-02-06,145.02999877929688,144.3300018310547,144.97000122070312,144.88999938964844,57081300.0,111.71399688720705
2007-02-07,145.36000061035156,144.57000732421875,145.1199951171875,145.2100067138672,55669700.0,111.96074676513672
2007-02-08,145.1199951171875,144.27000427246094,144.77999877929688,145.02000427246094,70641000.0,111.8142547607422
2007-02-09,145.3300018310547,143.38999938964844,145.05999755859375,143.94000244140625,79084400.0,110.98153686523438
2007-02-12,144.0399932861328,143.19000244140625,143.94000244140625,143.4499969482422,65657000.0,110.60372161865234
2007-02-13,144.89999389648438,143.75999450683594,143.77000427246094,144.66000366210938,64081800.0,111.53667449951172
2007-02-14,145.89999389648438,144.77999877929688,144.8000030517578,145.61000061035156,66039400.0,112.26913452148438
2007-02-15,145.9499969482422,145.42999267578125,145.6699981689453,145.8000030517578,38715200.0,112.4156494140625
2007-02-16,145.75999450683594,145.22999572753906,145.44000244140625,145.72999572753906,39841800.0,112.36164093017578
2007-02-20,146.1999969482422,145.0,145.55999755859375,146.0399932861328,56911800.0,112.60067749023438
2007-02-21,146.07000732421875,145.35000610351562,145.61000061035156,145.97999572753906,63971600.0,112.55438995361328
2007-02-22,146.4199981689453,145.1699981689453,146.0500030517578,145.8699951171875,79067400.0,112.46959686279295
2007-02-23,145.7899932861328,145.02999877929688,145.74000549316406,145.3000030517578,71966200.0,112.03012084960938
2007-02-26,145.9499969482422,144.75,145.8300018310547,145.1699981689453,69192800.0,111.9298858642578
2007-02-27,144.1999969482422,139.0,143.8800048828125,139.5,274466500.0,107.55816650390624
2007-02-28,141.97999572753906,139.80000305175778,140.38999938964844,140.92999267578125,177536300.0,108.66072082519531
2007-03-01,141.25,138.05000305175778,139.33999633789062,140.50999450683594,212828600.0,108.3368682861328
2007-03-02,140.66000366210938,138.66000366210938,140.05000305175778,138.66999816894528,162574000.0,106.9181900024414
2007-03-05,139.58000183105472,137.33000183105472,137.92999267578122,137.35000610351562,143750400.0,105.90045928955078
2007-03-06,140.1199951171875,137.72000122070312,138.77999877929688,139.69999694824222,143333300.0,107.71237182617188
2007-03-07,140.46000671386722,139.39999389648438,139.58999633789062,139.55999755859378,115144900.0,107.60443115234376
2007-03-08,141.16000366210938,140.07000732421878,140.53999328613278,140.74000549316406,117891600.0,108.51422119140624
2007-03-09,141.4199981689453,140.08000183105472,141.30999755859375,140.77999877929688,107765100.0,108.54507446289062
2007-03-12,141.33999633789062,140.16000366210938,140.41999816894528,140.99000549316406,80366900.0,108.7069854736328
2007-03-13,140.77000427246094,138.03999328613278,140.17999267578122,138.25,190605200.0,106.5943374633789
2007-03-14,139.36000061035156,136.75,138.42999267578122,139.27999877929688,231853800.0,107.38851165771484
2007-03-15,139.99000549316406,138.80000305175778,138.97000122070312,139.47000122070312,132435900.0,107.53502655029295
2007-03-16,139.6300048828125,138.1199951171875,139.30999755859378,138.52999877929688,121531600.0,107.2339096069336
2007-03-19,140.33000183105472,139.14999389648438,139.25999450683594,140.19999694824222,96161200.0,108.52662658691406
2007-03-20,141.0500030517578,139.96000671386722,140.08000183105472,140.97000122070312,82147400.0,109.12267303466795
2007-03-21,143.64999389648438,140.82000732421875,141.10000610351562,143.2899932861328,152368700.0,110.9186019897461
2007-03-22,143.67999267578125,142.7899932861328,143.47999572753906,143.17999267578125,118942200.0,110.83340454101562
2007-03-23,143.80999755859375,143.14999389648438,143.27999877929688,143.38999938964844,74416800.0,110.9959487915039
2007-03-26,143.64999389648438,142.08999633789062,143.5,143.1999969482422,113787500.0,110.84886932373048
2007-03-27,143.16000366210938,142.38999938964844,143.1199951171875,142.86000061035156,99864600.0,110.58567810058594
2007-03-28,142.47000122070312,141.25999450683594,142.13999938964844,141.82000732421875,152907900.0,109.7806625366211
2007-03-29,142.61000061035156,141.19000244140625,142.5399932861328,141.97000122070312,139432700.0,109.89675903320312
2007-03-30,142.83999633789062,140.55999755859378,142.24000549316406,142.0,128194100.0,109.91998291015624
2007-04-02,142.4600067138672,141.47999572753906,142.16000366210938,142.16000366210938,79416400.0,110.04383087158205
2007-04-03,143.97999572753906,142.91000366210938,142.97000122070312,143.69000244140625,82417800.0,111.22818756103516
2007-04-04,143.9499969482422,143.16000366210938,143.69000244140625,143.85000610351562,63995200.0,111.35208129882812
2007-04-05,144.44000244140625,143.61000061035156,143.6699981689453,144.24000549316406,46822800.0,111.65394592285156
2007-04-09,144.8000030517578,144.14999389648438,144.64999389648438,144.44000244140625,50967400.0,111.80874633789062
2007-04-10,144.85000610351562,144.27000427246094,144.3300018310547,144.61000061035156,56620000.0,111.94034576416016
